user_id,playtime_forever,genero,anio_lanzamiento
76561197970982479,6,"['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']",2018.0
76561197970982479,0,"['Free to Play', 'Indie', 'RPG', 'Strategy']",2018.0
76561197970982479,7,"['Casual', 'Free to Play', 'Indie', 'Simulation', 'Sports']",2017.0
76561197970982479,0,"['Action', 'Adventure', 'Casual']",2017.0
76561197970982479,0,"['Action', 'Adventure', 'Simulation']",2018.0
76561197970982479,0,"['Free to Play', 'Indie', 'Simulation', 'Sports']",2018.0
76561197970982479,0,"['Free to Play', 'Indie', 'Simulation', 'Sports']",2018.0
76561197970982479,0,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",2018.0
76561197970982479,4733,"['Casual', 'Indie']",2018.0
76561197970982479,1853,"['Casual', 'Indie', 'Simulation']",2018.0
76561197970982479,333,"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",2018.0
76561197970982479,75,"['Free to Play', 'Indie', 'Simulation', 'Sports']",2018.0
76561197970982479,338,"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",2018.0
76561197970982479,0,"['Free to Play', 'Indie', 'Simulation', 'Sports']",2018.0
76561197970982479,2,"['Action', 'Adventure', 'Indie']",2018.0
76561197970982479,286,"['Racing', 'Simulation', 'Sports']",2017.0
76561197970982479,2685,"['Racing', 'Simulation', 'Sports']",2017.0
76561197970982479,633,"['Action', 'Indie']",2018.0
76561197970982479,0,"['Action', 'Indie', 'Racing']",1997.0
76561197970982479,696,['Action'],1998.0
76561197970982479,0,"['Action', 'Indie', 'RPG']",2016.0
76561197970982479,37,"['Casual', 'Indie', 'Simulation']",2018.0
76561197970982479,0,"['Adventure', 'Casual', 'Indie', 'RPG']",2018.0
76561197970982479,168,['Strategy'],2006.0
76561197970982479,173,['Strategy'],2006.0
76561197970982479,323,"['Action', 'Indie', 'RPG']",2006.0
76561197970982479,692,"['Action', 'Indie', 'Strategy', 'Early Access']",2017.0
76561197970982479,0,"['Action', 'Adventure', 'Indie', 'RPG']",2017.0
76561197970982479,0,"['Casual', 'Strategy', 'Early Access']",2017.0
76561197970982479,1185,"['Action', 'Indie']",2017.0
76561197970982479,477,"['Action', 'Adventure', 'Casual']",2017.0
76561197970982479,115,['Action'],2005.0
76561197970982479,0,"['Indie', 'Strategy']",2006.0
76561197970982479,0,"['Action', 'Indie', 'RPG']",2006.0
76561197970982479,28,"['Indie', 'Simulation']",2006.0
76561197970982479,0,['Racing'],2006.0
76561197970982479,31,"['Casual', 'Indie']",2006.0
76561197970982479,0,"['Casual', 'Indie']",2006.0
76561197970982479,195,['Strategy'],2003.0
76561197970982479,513,['Strategy'],2006.0
76561197970982479,1061,"['Adventure', 'RPG']",2006.0
76561197970982479,1613,['Racing'],2006.0
76561197970982479,186,['Racing'],2005.0
76561197970982479,0,"['Action', 'Adventure']",2007.0
76561197970982479,271,['Strategy'],2006.0
76561197970982479,445,['RPG'],2002.0
76561197970982479,10006,"['Action', 'Adventure', 'RPG']",2000.0
